,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,id
0,0.719,0.598,9,-6.254,1,0.077,0.232,0.0,0.115,0.303,142.592,126521,4,5psEZhQu6lukjhavJo4AbC
1,0.525,0.437,2,-8.285,1,0.0272,0.236,7.03e-06,0.121,0.195,127.994,292663,3,7Jd0VVrzeTTWipxSzJ81aC
2,0.715,0.665,6,-5.486,1,0.0381,0.301,0.0,0.123,0.593,109.019,168733,4,2v08cjj3Th8RpfJgluECcj
3,0.863,0.666,1,-4.158,0,0.152,0.212,0.000493,0.103,0.838,163.908,178947,4,7vrJn5hDSXRmdXoR30KgF1
4,0.8,0.56,5,-4.818,0,0.261,0.057,0.0,0.134,0.45,163.071,200221,4,6EDO9iiTtwNv6waLwa1UUq
5,0.399,0.491,6,-10.778,0,0.0538,0.0563,0.00089,0.11,0.151,91.066,210463,4,6AGOKlMZWLCaEJGnaROtF9
6,0.842,0.789,6,-8.733,0,0.178,0.0265,0.0,0.355,0.795,111.113,170641,4,08TILUAN56HJoS1d9mNRty
7,0.431,0.831,8,-5.108,1,0.0474,0.0791,0.0,0.312,0.352,167.96,184893,4,54eUv9Q3D9MZuOGS5PSflp
8,0.943,0.528,0,-8.631,1,0.299,0.00291,0.0,0.0858,0.608,97.542,167370,4,2993VQSr7a2Dj5hI5xcWG0
9,0.65,0.613,9,-6.13,0,0.128,0.00336,0.0,0.267,0.0804,149.972,194621,4,2U5WueTLIK5WJLD7mvDODv
10,0.832,0.534,1,-7.813,0,0.253,0.345,0.0,0.165,0.116,93.924,132833,4,1VLtjHwRWOVJiE5Py7JxoQ
11,0.598,0.839,4,-4.605,1,0.111,0.106,0.0,0.372,0.783,105.084,156276,4,2bV4NwncWMnVvcWyU2yxwB
12,0.421,0.609,1,-6.467,0,0.0594,0.0751,0.0,0.12,0.105,80.611,196627,4,1SBgI8NDCkKLFFQgwzmsVX
13,0.865,0.792,4,-4.207,1,0.0677,0.168,1.46e-05,0.107,0.562,101.985,189496,4,3MEruRteiUZXkStfTlZqRn
14,0.679,0.516,0,-6.371,0,0.0452,0.199,0.0,0.0965,0.716,120.074,202008,4,7Bar1kLTmsRmH6FCKKMEyU
15,0.826,0.655,2,-4.775,1,0.3,0.000761,0.0,0.0841,0.45,184.057,170871,4,3yhhv0VCmKkAWD9ysDLpTE
16,0.448,0.838,4,-5.257,0,0.0557,0.21,0.000131,0.131,0.254,139.863,208907,4,45S5WTQEGOB1VHr1Q4FuPl
17,0.821,0.863,6,-3.159,1,0.353,0.00824,0.0,0.0377,0.874,180.013,154324,4,6WbTTAGKrQtCQvmc5BuYfh
18,0.79,0.646,5,-5.878,1,0.0447,0.132,0.0,0.295,0.641,138.047,214707,4,5Kpg1A7BOHpBbaT3H3xqd3
19,0.835,0.699,8,-5.405,0,0.277,0.00671,0.0,0.195,0.547,154.981,202795,4,4jVBIpuOiMj1crqd8LoCrJ
20,0.794,0.756,5,-7.16,0,0.136,0.11,0.0,0.247,0.775,123.066,156498,4,4DuUwzP4ALMqpquHU0ltAB
21,0.523,0.927,4,-2.796,1,0.0489,0.0272,5.98e-06,0.168,0.939,149.929,185070,4,48F2xnWq3LuzYWML327Z2r
22,0.705,0.814,4,-5.466,0,0.0346,0.00115,0.00312,0.203,0.259,110.0,223279,4,27ycaQnQAxaPiyeg3nr2aB
23,0.9,0.521,4,-7.286,0,0.147,0.0135,0.0,0.0951,0.213,132.007,218182,4,31iqpzg1ZXLLgq0L5iIwLe
24,0.82,0.592,1,-7.002,1,0.29,0.0149,4.71e-06,0.121,0.4,159.98,196180,4,7fEoXCZTZFosUFvFQg1BmW
25,0.731,0.845,8,-5.352,1,0.132,0.0132,0.0,0.0782,0.484,101.085,239722,4,54DmTIv86D3sYdiawjULQ0
26,0.957,0.437,11,-7.882,1,0.359,0.00402,0.0,0.219,0.616,130.058,137984,4,4aarlAfLKVCTxUDNgbwhjH
27,0.787,0.669,5,-4.333,0,0.0428,0.00782,0.0,0.123,0.57,104.994,202313,4,2FVpOsjT1iquZ3SpCjZ9Ne
28,0.764,0.526,11,-7.355,1,0.212,0.0484,0.0,0.0718,0.588,114.91,222243,4,3QH8rQGNFX8VLbCgZ7uPTS
29,0.711,0.598,3,-7.621,0,0.182,0.19,0.0,0.15,0.737,140.175,123429,4,5vGLcdRuSbUhD8ScwsGSdA
30,0.487,0.534,0,-5.664,0,0.0555,0.36,0.0,0.1,0.173,131.798,201882,4,3UoULw70kMsiVXxW0L3A33
31,0.642,0.374,4,-9.386,1,0.0545,0.786,0.0,0.0906,0.0799,124.099,169266,4,45bE4HXI0AwGZXfZtMp8JR
32,0.457,0.774,0,-5.201,1,0.0336,0.428,4.29e-05,0.119,0.59,203.863,210123,4,0tbjiOUl4k492KPdWZS9sy
33,0.721,0.277,1,-7.128,1,0.0365,0.634,0.0,0.112,0.309,131.935,171827,4,5ovVcYo2MvjVydFwFyaaqy
34,0.333,0.637,1,-4.904,0,0.0581,0.131,1.8e-05,0.149,0.132,139.898,172693,4,5KCbr5ndeby4y4ggthdiAb
35,0.653,0.667,10,-6.764,0,0.0423,0.154,0.0,0.107,0.556,104.181,213869,4,5hvwx5i67IwnCkjl9VHkNv
36,0.81,0.511,5,-6.924,0,0.164,0.12,0.0,0.0832,0.837,151.947,154998,4,6zFMeegAMYQo0mt8rXtrli
37,0.781,0.67,3,-3.912,0,0.0452,0.0103,0.0,0.0761,0.595,127.99,169333,4,5JqZ3oqF00jkT81foAFvqg
38,0.487,0.65,0,-5.195,1,0.0253,0.191,0.0,0.0933,0.456,151.964,232533,4,6IBcOGPsniK3Pso1wHIhew
39,0.638,0.538,10,-8.445,1,0.0315,0.452,0.000415,0.0695,0.318,89.124,240413,4,3TNSVsiFngfe68UJpMq1oS
40,0.574,0.58,7,-6.091,1,0.0278,0.076,0.0,0.12,0.4,149.974,187307,4,7yNJCsUH3tXlpQiHSsAc5l
41,0.501,0.788,10,-4.624,1,0.0415,0.12,0.0,0.137,0.61,152.047,186613,4,1D7cfiC5mxqHfTCcOiRBej
42,0.319,0.21,1,-15.231,1,0.0341,0.92,8.06e-05,0.138,0.209,78.696,192160,4,4PS1e8f2LvuTFgUs1Cn3ON
43,0.552,0.225,0,-11.501,1,0.0477,0.827,0.0,0.111,0.67,138.002,219573,4,6gdLyYNuhWBzqwlOFSsXC7
44,0.58,0.751,7,-5.078,1,0.0267,0.49,0.0,0.277,0.718,148.108,186293,4,096YtKWNRXdmYKFLelSBto
45,0.538,0.745,8,-5.774,1,0.0387,0.1,0.0,0.063,0.669,165.755,170173,4,2DwbFtfC6sXBiVDPmju8Dd
46,0.562,0.683,7,-4.427,1,0.0296,0.00531,0.0,0.107,0.385,132.003,244798,4,6vC90OOjZR165Hw8CpsqEm
47,0.735,0.478,2,-12.472,1,0.0293,0.189,2.48e-06,0.355,0.947,107.682,262960,4,2FRnf9qhLbvw8fu4IBXx78
48,0.709,0.548,10,-8.493,1,0.353,0.65,1.59e-06,0.133,0.543,83.995,160000,4,1tkg4EHVoqnhR6iFEXb60y
49,0.643,0.79,4,-6.079,1,0.0462,0.294,0.0,0.107,0.8,95.987,188893,4,14GwnOeC9qYEKEA6uOZepa
50,0.904,0.723,11,-5.224,0,0.26,0.0631,0.0,0.185,0.835,145.013,227478,4,2MbdDtCv5LUVjYy9RuGTgC
51,0.516,0.745,2,-8.352,1,0.0774,0.564,0.0,0.275,0.826,186.006,173173,3,5Y05LYM8LhnQN78GqfjSeK
52,0.24,0.598,7,-8.435,1,0.0369,0.766,0.0,0.117,0.776,201.629,151933,3,5hslUAKq9I9CG2bAulFkHN
53,0.548,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39,174000,4,6UelLqGlWMcVH1E5c4H7lY
54,0.929,0.667,8,-6.789,0,0.353,0.0185,0.0,0.1,0.274,126.998,155168,4,3sKz6Sd72K0ofPWcJPPk6H
55,0.674,0.774,11,-7.567,0,0.0892,0.0686,0.00188,0.393,0.33,112.05,176547,4,62aP9fBQKYKxi7PDXwcUAS
56,0.754,0.424,2,-8.463,1,0.0363,0.643,0.0,0.0652,0.806,119.705,130973,4,3hBXvHLlTHvnbwrPbeoyAj
57,0.83,0.585,0,-6.476,1,0.094,0.237,0.0,0.248,0.485,109.978,173711,4,6Im9k8u9iIzKMrmV7BWtlF
58,0.74,0.516,1,-6.233,0,0.0507,0.0183,0.0,0.0558,0.698,139.918,170858,4,53BHUFdQphHiZUUG3nx9zn
59,0.459,0.575,3,-4.858,1,0.0573,0.604,0.0,0.0885,0.183,111.881,215107,4,7ce20yLkzuXXLUhzIDoZih
60,0.746,0.69,11,-7.956,1,0.164,0.247,0.0,0.101,0.497,89.977,181733,4,7ytR5pFWmSjzHJIeQkgog4
61,0.702,0.825,6,-3.787,0,0.0601,0.00883,0.0,0.0674,0.915,102.977,203064,4,463CkQjx2Zk1yXoBuierM9
62,0.935,0.454,1,-7.509,1,0.375,0.0194,0.0,0.0824,0.357,133.073,187541,4,4Oun2ylbjFKMPTiaSbbCih
63,0.582,0.693,6,-5.048,1,0.0465,0.114,0.0,0.13,0.341,125.904,204800,4,3ndCsZfq8OVwwkz9mmZvUz
64,0.589,0.472,8,-8.749,1,0.0502,0.614,0.0,0.505,0.898,67.196,126267,4,2EjXfH91m7f8HiJN1yQg97
65,0.621,0.882,6,-5.01,1,0.0459,0.601,0.0,0.132,0.574,126.014,216573,4,0eBXyY4SatzpE7opnzgXvz
66,0.637,0.69,1,-4.057,0,0.0405,0.00786,0.0,0.124,0.457,129.857,162399,4,7a53HqqArd4b9NF4XAmlbI
67,0.823,0.586,6,-6.606,0,0.2,0.114,0.0,0.193,0.347,125.971,190476,4,0PvFJmanyNQMseIFrU708S
68,0.336,0.627,7,-7.463,1,0.0384,0.164,0.0,0.0708,0.35,150.273,241107,4,0bYg9bo50gSsH3LtXe2SQn
69,0.547,0.605,8,-6.755,1,0.0415,0.42,0.0,0.125,0.364,121.953,254950,4,0n2moJpAEWHwaPYYjkzMDl
70,0.914,0.732,8,-6.1,0,0.241,0.0166,0.0,0.107,0.469,94.066,171067,4,0A1hoCfMLkiAgvhWkkucJa
71,0.889,0.34,11,-7.773,0,0.0697,0.218,0.13,0.055,0.716,94.009,174321,4,54bFM56PmE4YLRnqpW6Tha
72,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,200040,4,0VjIjW4GlUZAMYd2vXMi3b
73,0.761,0.518,0,-8.871,1,0.134,0.244,3.47e-05,0.107,0.522,133.976,261493,4,2SAqBLGA283SUiwJ3xOUVI
74,0.673,0.704,6,-8.056,1,0.36,0.196,0.0,0.0898,0.372,86.919,212093,4,5u1n1kITHCxxp8twBcZxWy
75,0.466,0.536,6,-6.227,1,0.0429,0.0951,0.0,0.114,0.377,75.998,210773,4,23T0OX7QOiIUFShSzbJ5Uo
76,0.737,0.802,0,-4.771,1,0.0878,0.468,0.0,0.0931,0.682,144.015,172325,4,35mvY5S1H3J2QZyna3TFe0
77,0.746,0.765,6,-4.41,0,0.0993,0.0112,0.0,0.0936,0.737,114.044,199054,4,0t1kP63rueHleOhQkYSXFY
78,0.7,0.722,7,-3.558,0,0.0369,0.221,0.0,0.272,0.756,90.989,140526,4,3tjFYV6RSFtuktYl3ZtYcq
79,0.566,0.716,1,-5.733,1,0.0424,0.00691,0.0,0.37,0.45,81.068,207481,4,249gnXrbfmV8NG6jTEMSwD
80,0.727,0.914,7,-5.85,1,0.0743,0.617,0.0,0.596,0.784,106.021,196160,4,5avVDmK9FVJpd3MDO8I3Zl
81,0.613,0.581,0,-8.588,0,0.0424,0.537,0.000345,0.25,0.551,130.033,239560,4,4R2kfaDFhslZEMJqAFNpdd
82,0.725,0.668,5,-7.286,0,0.055,0.0932,2.33e-06,0.112,0.566,82.966,176787,4,35Dh5MnCUPLN3XyAVtQff3
83,0.695,0.343,5,-10.798,1,0.0432,0.0743,1.04e-06,0.107,0.229,85.84,218902,4,35RJhm1pEovTBwnNR0zWad
84,0.926,0.762,1,-1.887,1,0.205,0.000718,0.0,0.117,0.277,127.931,153750,4,6hLZzCS4E7AWo3PRBWy6az
85,0.849,0.536,1,-7.307,1,0.349,0.0239,0.0,0.126,0.308,141.964,122587,4,4Z5FyQlevoHoa5FsIVKZju
86,0.877,0.607,10,-7.818,0,0.15,0.535,0.0,0.138,0.773,127.055,151249,4,1SF8piqsZWn86DajVKih8F
87,0.598,0.846,6,-4.956,1,0.0355,0.0527,0.0,0.113,0.328,144.04,186107,4,7IWV29mryrqtO0JVgnPtfv
88,0.709,0.679,11,-6.503,0,0.346,0.0115,0.0,0.0971,0.754,162.973,153467,4,2T5NBwKRySiCR78vVk08vr
89,0.59,0.618,1,-5.756,1,0.334,0.0127,0.0,0.244,0.153,96.459,252729,3,44gRhRi2OhEf7moAUj6MD1
90,0.522,0.659,6,-6.016,1,0.0304,0.307,0.0,0.102,0.355,141.996,224987,4,3zxAw8PaqpeGZ3Pakkxv3J
91,0.357,0.425,5,-7.301,1,0.0333,0.584,0.0,0.322,0.27,102.078,198040,3,4xqrdfXkTW4T0RauPLv3WA
92,0.646,0.696,1,-6.505,1,0.065,0.113,0.0,0.115,0.18,81.336,223415,4,0KS2h61pHQ4WmOwruD7uxD
93,0.567,0.726,6,-4.705,1,0.0309,0.216,0.0,0.12,0.319,141.92,190720,4,0jcZ1uIHmvh6Is9T6hXOUk
94,0.954,0.696,10,-7.117,0,0.204,0.00576,0.000498,0.0754,0.432,100.036,139413,4,4Hpib09wXgD84w4uwTPnYD
95,0.782,0.51,4,-5.724,0,0.0419,0.143,0.0,0.115,0.118,99.993,143375,4,5IUtvfNvOyVYZUa6AJFrnP
96,0.868,0.638,2,-7.746,1,0.0736,0.146,0.0565,0.0931,0.459,126.03,182857,4,7v96VvFLS0wSYT8kewNLRy
