,Song Name,Artist,Date,Peak Position,Current Position,Weeks on the Chart,Is New
0,Starboy,The Weeknd Featuring Daft Punk,2017-02-01,1,1,14,False
1,Black Beatles,Rae Sremmurd Featuring Gucci Mane,2017-02-01,1,2,15,False
2,Closer,The Chainsmokers Featuring Halsey,2017-02-01,1,3,21,False
3,24K Magic,Bruno Mars,2017-02-01,4,4,11,False
4,Juju On That Beat (TZ Anthem),Zay Hilfigerrr & Zayion McCall,2017-02-01,5,5,13,False
5,Side To Side,Ariana Grande Featuring Nicki Minaj,2017-02-01,4,6,17,False
6,Let Me Love You,DJ Snake Featuring Justin Bieber,2017-02-01,4,7,20,False
7,Don't Wanna Know,Maroon 5 Featuring Kendrick Lamar,2017-02-01,7,8,11,False
8,Bad Things,Machine Gun Kelly x Camila Cabello,2017-02-01,9,9,8,False
9,Fake Love,Drake,2017-02-01,10,10,9,False
10,Caroline,Amine,2017-02-01,11,11,16,False
11,Heathens,twenty one pilots,2017-02-01,2,12,27,False
12,Bad And Boujee,Migos Featuring Lil Uzi Vert,2017-02-01,13,13,6,False
13,Scars To Your Beautiful,Alessia Cara,2017-02-01,13,14,17,False
14,Broccoli,D.R.A.M. Featuring Lil Yachty,2017-02-01,5,15,28,False
15,All I Want For Christmas Is You,Mariah Carey,2017-02-01,11,16,18,False
16,Starving,Hailee Steinfeld & Grey Featuring Zedd,2017-02-01,12,17,21,False
17,I Don't Wanna Live Forever (Fifty Shades Darker),Zayn / Taylor Swift,2017-02-01,6,18,2,False
18,OOOUUU,Young M.A,2017-02-01,19,19,17,False
19,Love On The Brain,Rihanna,2017-02-01,20,20,10,False
20,Bounce Back,Big Sean,2017-02-01,21,21,7,False
21,The Greatest,Sia Featuring Kendrick Lamar,2017-02-01,18,22,16,False
22,Hallelujah,Pentatonix,2017-02-01,23,23,9,False
23,All Time Low,Jon Bellion,2017-02-01,24,24,11,False
24,I Feel It Coming,The Weeknd Featuring Daft Punk,2017-02-01,22,25,5,False
25,Treat You Better,Shawn Mendes,2017-02-01,6,26,29,False
26,Rockin' Around The Christmas Tree,Brenda Lee,2017-02-01,14,27,18,False
27,Mercy,Shawn Mendes,2017-02-01,28,28,14,False
28,Jingle Bell Rock,Bobby Helms,2017-02-01,29,29,19,False
29,In The Name Of Love,Martin Garrix & Bebe Rexha,2017-02-01,24,30,19,False
30,I Hate U I Love U,gnash Featuring Olivia O'Brien,2017-02-01,10,31,36,False
31,Can't Stop The Feeling!,Justin Timberlake,2017-02-01,1,32,33,False
32,Blue Ain't Your Color,Keith Urban,2017-02-01,24,33,15,False
33,Don't Let Me Down,The Chainsmokers Featuring Daya,2017-02-01,3,34,45,False
34,Deja Vu,J. Cole,2017-02-01,7,35,2,False
35,Cheap Thrills,Sia Featuring Sean Paul,2017-02-01,1,36,45,False
36,This Town,Niall Horan,2017-02-01,25,37,13,False
37,Cold Water,Major Lazer Featuring Justin Bieber & MO,2017-02-01,2,38,22,False
38,Chill Bill,Rob $tone Featuring J. Davi$ & Spooks,2017-02-01,29,39,21,False
39,Love Me Now,John Legend,2017-02-01,23,40,9,False
40,Both,Gucci Mane Featuring Drake,2017-02-01,41,41,1,True
41,Unsteady,X Ambassadors,2017-02-01,20,42,32,False
42,X,21 Savage & Metro Boomin Featuring Future,2017-02-01,36,43,15,False
43,Feliz Navidad,Jose Feliciano,2017-02-01,44,44,1,True
44,"Mary, Did You Know?",Pentatonix,2017-02-01,26,45,7,False
45,A Holly Jolly Christmas,Burl Ives,2017-02-01,46,46,1,True
46,The Christmas Song (Merry Christmas To You),Nat King Cole,2017-02-01,38,47,8,False
47,It's The Most Wonderful Time Of The Year,Andy Williams,2017-02-01,48,48,1,True
48,Party Monster,The Weeknd,2017-02-01,16,49,5,False
49,Last Christmas,Wham!,2017-02-01,50,50,1,True
50,Water Under The Bridge,Adele,2017-02-01,51,51,7,False
51,You Was Right,Lil Uzi Vert,2017-02-01,49,52,24,False
52,No Heart,21 Savage & Metro Boomin,2017-02-01,53,53,9,False
53,Neighbors,J. Cole,2017-02-01,13,54,2,False
54,Used To This,Future Featuring Drake,2017-02-01,14,55,7,False
55,How Far I'll Go,Auli'i Cravalho,2017-02-01,52,56,4,False
56,Do You Mind,"DJ Khaled Featuring Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross",2017-02-01,27,57,20,False
57,Party,Chris Brown Featuring Usher & Gucci Mane,2017-02-01,58,58,1,True
58,Immortal,J. Cole,2017-02-01,11,59,2,False
59,May We All,Florida Georgia Line Featuring Tim McGraw,2017-02-01,30,60,17,False
60,Say You Won't Let Go,James Arthur,2017-02-01,60,61,9,False
61,Wanna Be That Song,Brett Eldredge,2017-02-01,53,62,12,False
62,Too Much Sauce,DJ ESCO Featuring Future & Lil Uzi Vert,2017-02-01,61,63,18,False
63,Better Man,Little Big Town,2017-02-01,53,64,8,False
64,Chantaje,Shakira Featuring Maluma,2017-02-01,65,65,6,False
65,Dirty Laundry,Carrie Underwood,2017-02-01,66,66,10,False
66,1 Night,Lil Yachty,2017-02-01,49,67,20,False
67,Redbone,Childish Gambino,2017-02-01,48,68,4,False
68,Sneakin',Drake Featuring 21 Savage,2017-02-01,28,69,9,False
69,Million Reasons,Lady Gaga,2017-02-01,52,70,7,False
70,A Guy With A Girl,Blake Shelton,2017-02-01,71,71,6,False
71,Just Hold On,Steve Aoki & Louis Tomlinson,2017-02-01,52,72,2,False
72,Song For Another Time,Old Dominion,2017-02-01,59,73,13,False
73,Pick Up The Phone,Young Thug And Travis Scott Featuring Quavo,2017-02-01,43,74,19,False
74,Make Me (Cry),Noah Cyrus Featuring Labrinth,2017-02-01,75,75,2,False
75,Star Of The Show,Thomas Rhett,2017-02-01,76,76,8,False
76,HandClap,Fitz And The Tantrums,2017-02-01,63,77,13,False
77,How I'll Always Be,Tim McGraw,2017-02-01,78,78,10,False
78,Rockabye,Clean Bandit Featuring Sean Paul & Anne-Marie,2017-02-01,79,79,3,False
79,Alone,Marshmello,2017-02-01,80,80,4,False
80,How Far I'll Go,Alessia Cara,2017-02-01,81,81,3,False
81,All We Know,The Chainsmokers Featuring Phoebe Ryan,2017-02-01,18,82,12,False
82,Change,J. Cole,2017-02-01,21,83,2,False
83,Dirt On My Boots,Jon Pardi,2017-02-01,84,84,3,False
84,Selfish,PnB Rock,2017-02-01,81,85,7,False
85,You're Welcome,Dwayne Johnson,2017-02-01,83,86,4,False
86,Fresh Eyes,Andy Grammer,2017-02-01,59,87,12,False
87,Sleep Without You,Brett Young,2017-02-01,47,88,15,False
88,She's Mine Pt. 1,J. Cole,2017-02-01,22,89,2,False
89,Ville Mentality,J. Cole,2017-02-01,24,90,2,False
90,OTW,DJ Luke Nasty,2017-02-01,91,91,1,True
91,Red Opps,21 Savage,2017-02-01,92,92,1,True
92,For Whom The Bell Tolls,J. Cole,2017-02-01,23,93,2,False
93,Six Feet Under,The Weeknd,2017-02-01,34,94,4,False
94,Reminder,The Weeknd,2017-02-01,31,95,4,False
95,Play That Song,Train,2017-02-01,77,96,4,False
96,Sidewalks,The Weeknd Featuring Kendrick Lamar,2017-02-01,27,97,4,False
97,Foldin Clothes,J. Cole,2017-02-01,30,98,2,False
98,Swang,Rae Sremmurd,2017-02-01,99,99,1,True
99,Versace On The Floor,Bruno Mars,2017-02-01,98,100,2,False
0,Bad And Boujee,Migos Featuring Lil Uzi Vert,2017-03-01,1,1,10,False
1,Shape Of You,Ed Sheeran,2017-03-01,1,2,2,False
2,Black Beatles,Rae Sremmurd Featuring Gucci Mane,2017-03-01,1,3,19,False
3,Closer,The Chainsmokers Featuring Halsey,2017-03-01,1,4,25,False
